"Id","DateCreated","DateUpdated","DeviceId","DeviceType","DeviceModel","RequestType","ImageUrl","Latitude","Longitude","City","State","ZipCode","Directionality","Description","StatusType","HasBeenForwarded","InitialBoundaryName"
"47082","7/31/2012 5:51:49 PM","7/31/2012 6:34:47 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.357107000000000","-157.856781000000000","Honolulu","HI","96819","I Don't Know","Some one is illegally dumping trash on side if road. About 10 bags of tree waste been there for 3 months, more regular trash put out last night","ReferredToDept","True","Honolulu, HI"
"47079","7/31/2012 5:16:10 PM","7/31/2012 6:27:30 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.331802000000000","-157.877365000000000","Honolulu","HI","96819","I Don't Know","Traffic light is hard to see, very dangerous","ReferredToDept","True","Honolulu, HI"
"47076","7/31/2012 5:06:23 PM","7/31/2012 6:25:07 PM","","Android","SGH-T959V","Abandoned Vehicle (incl license number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.298121000000000","-157.844803000000000","Honolulu","HI","96814","Northwest","Lic#HUP 551 aqua colored Mazda protege. I actually wouldn't know what to make the complaint about. A homless female,illegally stored property,abandoned vehicle? You helped us elders out the first time,please help again. It brings the value of my property down. Thank you.","ReferredToDept","True","Honolulu, HI"
"47075","7/31/2012 5:01:01 PM","7/31/2012 6:26:43 PM","","Android","SGH-T959V","Stored Property Violation","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.298091000000000","-157.844760000000000","Honolulu","HI","96814","Northwest","Lic#HUP	551 aqua colored Mazda protege.","ReferredToDept","True","Honolulu, HI"
"47074","7/31/2012 4:58:30 PM","7/31/2012 6:26:29 PM","","Android","SGH-T959V","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.298251000000000","-157.844696000000000","Honolulu","HI","96814","Northwest","A vehicle that's been there for awhile that the same homless female resides in! Its a total eyesore!! A reoccurring problem with the same homless female!! I will submit other pictures regarding,being unsanitary,garbage collecting etc. This is ridiculous!!","ReferredToDept","True","Honolulu, HI"
"47038","7/31/2012 6:58:36 AM","7/31/2012 6:19:22 PM","","Android","SPH-D710","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.323759000000000","-157.802982000000000","Honolulu","HI","96822","Northwest","no pick up of green recycle bin, scheduled for today. whats wrong? no one came to pick up trash last week Thursday also.","ReferredToDept","True","Honolulu, HI"
"47036","7/31/2012 6:26:52 AM","7/31/2012 6:16:46 PM","","Apple","iPhone 4","Broken Street Lights (Need Pole Number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.335655000000000","-158.060333000000000","Kapolei","HI","96707","I Don't Know","All along kekuilani loop, lights are out. Car got broken into last weekend. Please fix for all our safety. Thank you!","ReferredToDept","True","Honolulu County, HI"
"47034","7/31/2012 6:07:31 AM","7/31/2012 6:15:54 PM","","Android","HTC Sensation 4G","Broken Street Lights (need pole number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.335911000000000","-157.852592000000000","Honolulu","HI","96817","South","burnt out street light. pole # 39","ReferredToDept","True","Honolulu, HI"
"47033","7/31/2012 5:26:43 AM","7/31/2012 6:14:49 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.293732000000000","-157.844162000000000","Honolulu","HI","96814","I Don't Know","The legal signage on sidewalk","ReferredToDept","True","Honolulu, HI"
"47031","7/31/2012 4:56:40 AM","7/31/2012 6:10:20 PM","","Apple","iPhone 4S","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.293594000000000","-157.864273000000000","Honolulu","HI","96813","I Don't Know","Tripping hazard","ReferredToDept","True","Honolulu, HI"
"47027","7/31/2012 3:04:49 AM","7/31/2012 6:08:29 PM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.406158000000000","-157.777817000000000","Kaneohe","HI","96744","I Don't Know","Lottering, drinking & drug use at Friendship Garden Trail on Kokokahi Place. This car is here daily - have called the police but they just do a drive-by. Please help!","ReferredToDept","True","Honolulu County, HI"
"47016","7/31/2012 2:18:12 AM","7/31/2012 6:05:36 PM","","Android","SAMSUNG-SGH-I897","Broken Street Lights (need pole number)","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.278337000000000","-157.784421000000000","Honolulu","HI","96816","Northeast","this pedestrian light never turns green. it is always at red.","ReferredToDept","True","Honolulu, HI"
"47014","7/31/2012 1:34:03 AM","7/31/2012 1:45:33 AM","","Apple","iPhone 4","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.303635000000000","-157.849274000000000","Honolulu","HI","96814","I Don't Know","This sign is very big. Surely it violates our signage limits.","ReferredToDept","True","Honolulu, HI"
"47013","7/31/2012 1:32:01 AM","7/31/2012 1:42:14 AM","","Apple","iPhone 4","Stored Property Violation","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.303610000000000","-157.849304000000000","Honolulu","HI","96814","I Don't Know","When will this end?","ReferredToDept","True","Honolulu, HI"
"47008","7/31/2012 12:39:07 AM","7/31/2012 12:50:35 AM","","Apple","iPhone 4 (CDMA)","Other","http://cdn.freedomspeaks.com/CitySourced/Images/ReportImage.jpg","21.322783000000000","-157.889117000000000","Honolulu","HI","96819","I Don't Know","Wire hanging from utility pole","ReferredToDept","True","Honolulu, HI"
